ATA,Year,Minutos
25,2021,56.0
25,2021,166.0
25,2021,50.0
25,2021,47.0
25,2021,80.0
25,2022,85.0
25,2022,97.0
25,2022,247.0
25,2022,50.0
25,2022,120.0
25,2022,91.0
25,2022,63.0
25,2022,371.0
25,2022,77.0
25,2022,43.0
25,2022,52.0
25,2022,42.0
25,2023,85.0
25,2023,64.0
25,2023,61.0
25,2023,77.0
25,2023,58.0
25,2023,58.0
25,2023,71.0
25,2023,58.0
25,2023,70.0
25,2023,53.0
25,2023,55.0
25,2023,113.0
25,2024,583.0
25,2024,419.0
25,2024,49.0
25,2024,52.0
25,2024,113.0
25,2024,76.0
25,2024,163.0
25,2024,373.0
25,2024,187.0
25,2024,52.0
25,2024,50.0
12,2021,79.0
12,2021,53.0
12,2022,223.0
12,2022,65.0
12,2022,77.0
12,2022,154.0
12,2022,95.0
12,2022,201.0
12,2023,73.0
12,2023,60.0
12,2023,67.0
12,2023,94.0
12,2023,70.0
12,2023,140.0
12,2023,108.0
12,2023,158.0
12,2023,184.0
12,2023,129.0
12,2023,60.0
12,2024,62.0
12,2024,60.0
12,2024,125.0
12,2024,50.0
12,2024,52.0
12,2024,77.0
12,2024,52.0
12,2024,58.0
12,2024,60.0
12,2024,107.0
12,2024,90.0
12,2024,84.0
12,2024,57.0
12,2024,48.0
05,2021,147.0
05,2021,123.0
05,2021,679.0
05,2021,140.0
05,2021,281.0
05,2021,198.0
05,2021,239.0
05,2022,902.0
05,2022,180.0
05,2022,135.0
05,2022,231.0
05,2022,122.0
05,2022,1481.0
05,2022,231.0
05,2022,152.0
05,2022,216.0
05,2022,115.0
05,2022,145.0
05,2023,425.0
05,2023,304.0
05,2023,205.0
05,2023,732.0
05,2023,220.0
05,2023,266.0
05,2023,429.0
05,2024,276.0
05,2024,359.0
05,2024,137.0
05,2024,226.0
05,2024,144.0
05,2024,173.0
05,2024,183.0
05,2024,629.0
05,2024,285.0
05,2024,103.0
05,2024,113.0
05,2024,100.0
24,2021,135.0
24,2021,218.0
24,2021,230.0
24,2021,185.0
24,2021,140.0
24,2021,174.0
24,2022,211.0
24,2022,231.0
24,2022,236.0
24,2022,264.0
24,2022,296.0
24,2023,210.0
24,2023,224.0
24,2023,207.0
24,2023,238.0
24,2024,182.0
24,2024,248.0
24,2024,220.0
52,2021,45.0
52,2021,55.0
52,2021,208.0
52,2021,86.0
52,2021,141.0
52,2022,350.0
52,2022,102.0
52,2022,163.0
52,2022,98.0
52,2022,135.0
52,2022,129.0
52,2022,239.0
52,2022,81.0
52,2022,147.0
52,2023,65.0
52,2023,59.0
52,2023,104.0
52,2023,52.0
52,2023,53.0
52,2023,68.0
52,2023,210.0
52,2023,304.0
52,2024,95.0
52,2024,140.0
